adm_location,indicator,value,survey_name,ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank,indicator_name
kibuye,General fertility rate,200,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,General fertility rate,211,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,General fertility rate,248,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,General fertility rate,184,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Median age at first birth for women age 25-49,21.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Median age at first birth for women age 25-49,22.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Median age at first birth for women age 25-49,21.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Median age at first birth for women age 25-49,21.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Median age at first birth for women age 25-49,21.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Median age at first birth for women age 25-49,21.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Median age at first birth for women age 25-49,21.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Median age at first birth for women age 25-49,20.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Median age at first birth for women age 25-49,22.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Median age at first birth for women age 25-49,21.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Median age at first birth for women age 25-49,21.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Median age at first birth for women age 25-49,21,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Median age at first birth for women age 25-49,21.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Median age at first birth for women age 25-49,21.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Women who want no more children,37.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Women who want no more children,0,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Women who want no more children,0,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Women who want no more children,12.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Women who want no more children,28.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Women who want no more children,50,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Women who want no more children,52.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Women who want no more children,82.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Women who want no more children,33.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Women who want no more children,0,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Women who want no more children,13.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Women who want no more children,20.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Women who want no more children,49,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Women who want no more children,43.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Women who want no more children,75,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Women who want no more children,41.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Women who want no more children,0,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Women who want no more children,11.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Women who want no more children,35,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Women who want no more children,50.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Women who want no more children,59.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Women who want no more children,86.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Women who want no more children,35.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Women who want no more children,0,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Women who want no more children,2.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Women who want no more children,12.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Women who want no more children,30.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Women who want no more children,46,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Women who want no more children,64.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Women who want no more children,77.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Women who want no more children,38,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Women who want no more children,1.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Women who want no more children,18.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Women who want no more children,31.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Women who want no more children,57.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Women who want no more children,71,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Women who want no more children,78.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Women who want no more children,33.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Women who want no more children,3.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Women who want no more children,7.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Women who want no more children,29.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Women who want no more children,37.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Women who want no more children,58.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Women who want no more children,76.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Women who want no more children,34.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Women who want no more children,3.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Women who want no more children,3.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Women who want no more children,6.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Women who want no more children,16.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Women who want no more children,43.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Women who want no more children,44.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Women who want no more children,76.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Women who want no more children,36.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Women who want no more children,3.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Women who want no more children,2.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Women who want no more children,24.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Women who want no more children,41.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Women who want no more children,37.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Women who want no more children,72.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Women who want no more children,33.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Women who want no more children,3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Women who want no more children,9.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Women who want no more children,11.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Women who want no more children,45.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Women who want no more children,54.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Women who want no more children,82.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Women who want no more children,33.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Women who want no more children,2.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Women who want no more children,2.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Women who want no more children,13.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Women who want no more children,20.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Women who want no more children,36.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Women who want no more children,47.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Women who want no more children,66.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Women who want no more children,36.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Women who want no more children,0,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Women who want no more children,11.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Women who want no more children,16.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Women who want no more children,39.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Women who want no more children,42.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Women who want no more children,72.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Women who want no more children,32.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Women who want no more children,1.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Women who want no more children,1.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Women who want no more children,24.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Women who want no more children,18.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Women who want no more children,41.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Women who want no more children,38.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Women who want no more children,60.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Women who want no more children,33.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Women who want no more children,5.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Women who want no more children,5.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Women who want no more children,24,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Women who want no more children,27.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Women who want no more children,55,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Women who want no more children,67.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Women who want no more children,43.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Women who want no more children,0,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Women who want no more children,3.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Women who want no more children,21.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Women who want no more children,26.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Women who want no more children,56,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Women who want no more children,64.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Women who want no more children,78.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Mean ideal number of children for all women,4.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Mean ideal number of children for all women,4.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Mean ideal number of children for all women,3.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Mean ideal number of children for all women,4.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Mean ideal number of children for all women,3.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Mean ideal number of children for all women,4.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Mean ideal number of children for all women,4.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Mean ideal number of children for all women,4.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Mean ideal number of children for all women,4.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Mean ideal number of children for all women,4.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Mean ideal number of children for all women,4.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Mean ideal number of children for all women,4.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Mean ideal number of children for all women,4.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Mean ideal number of children for all women,3.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Total wanted fertility rate,3.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Total wanted fertility rate,3.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Total wanted fertility rate,3.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Total wanted fertility rate,4.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Total wanted fertility rate,4.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Total wanted fertility rate,4.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Total wanted fertility rate,4.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Total wanted fertility rate,4.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Total wanted fertility rate,4.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Total wanted fertility rate,4.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Total wanted fertility rate,4.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Total wanted fertility rate,4.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Total wanted fertility rate,5.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Total wanted fertility rate,3.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Married women currently using any method of contraception,19.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Married women currently using any method of contraception,15.1,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Married women currently using any method of contraception,22.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Married women currently using any method of contraception,19.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Married women currently using any method of contraception,25.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Married women currently using any method of contraception,14.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Married women currently using any method of contraception,20.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Married women currently using any method of contraception,16.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Married women currently using any method of contraception,25.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Married women currently using any method of contraception,23,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Married women currently using any method of contraception,19.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Married women currently using any method of contraception,27.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Married women currently using any method of contraception,20.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Married women currently using any method of contraception,22.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Married women currently using any modern method of contraception,9.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Married women currently using any modern method of contraception,7.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Married women currently using any modern method of contraception,10.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Married women currently using any modern method of contraception,13.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Married women currently using any modern method of contraception,18,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Married women currently using any modern method of contraception,10.6,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Married women currently using any modern method of contraception,12.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Married women currently using any modern method of contraception,9.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Married women currently using any modern method of contraception,16.3,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Married women currently using any modern method of contraception,14.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Married women currently using any modern method of contraception,11.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Married women currently using any modern method of contraception,18.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Married women currently using any modern method of contraception,12.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
